"name,C,80",school_type,"building,C,80","operator_t,C,80","capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Abeso Primary School,Primary School,,,,,,,5674586822,nodes
Aciek Agriculture Training Centre,Other or Unknown,,,,,,,8997003817,nodes
Adibu Primary,Primary School,,,,,Aweno Olwi,www.ubos.org,4018757598,nodes
Adotic Primary School,Primary School,,,,,,,4784254024,nodes
Afonji Primary School,Primary School,,,,,,,8625502017,nodes
Agonk Bek Secondary School,Secondary School,,,,,Juba,,3713157073,nodes
Agoro Nursery School,Nursery School,,Public,,,Angili,www.ubos.org,3981350261,nodes
Agoro Primary School,Primary School,,Private,,,Aludu,www.ubos.org,4009758602,nodes
Aguu Primary School,Primary School,,Private,,,Wale,www.ubos.org,4009758601,nodes
Akande Primary School,Primary School,,,,,,HOT-Uganda,5564478706,nodes
Akka Community Primary School,Primary School,,,,,,HOT-Uganda,5564478708,nodes
Akuem Primary School,Primary School,,,,,,HOT-Uganda,5564478709,nodes
Akuem Primary School,Primary School,,,,,,,12101524223,nodes
Alero School,Other or Unknown,,,,,,,9008744517,nodes
Aligo Primary School,Primary School,,,,,,HOT-Uganda,5596056088,nodes
Alimo Primary School,Primary School,,,,,,HOT-Uganda,5588234987,nodes
Alipi Primary School,Primary School,,,,,,HOT-Uganda,5596056083,nodes
Alliance Secondary School,Secondary School,,,,,,,5567194047,nodes
Amadi 2 Primary School,Primary School,,,,,,,5484142922,nodes
Amadi Primary School,Primary School,,,,,,,5484112524,nodes
Amalo,Other or Unknown,,,,,,,5484141521,nodes
Amara(Hs-Halls),Other or Unknown,,,,,,,5484142921,nodes
Amua Primary School,Primary School,,,,,,,5484133522,nodes
Andiriya Apaya,Other or Unknown,,,,,,,5484125726,nodes
Apwoyo Primary School,Primary School,,,,,,,5484133523,nodes
Arra Primary School,Primary School,,,,,,,5484138621,nodes
Athian P School,Primary School,,Public,,,Akande,www.ubos.org,3980676942,nodes
Ayaa Primary School,Primary School,,,,,,,5427238121,nodes
Ayipe Cope Primary School,Primary School,,,,,,,5428135922,nodes
Baac P School,Primary School,,,,,,,5414591622,nodes
Banika Islamic Primary School,Primary School,,,,,,,10214491847,nodes
Bari Displace,Other or Unknown,,,,,,,11805274275,nodes
Bari Primary School,Primary School,,,,,Congo,www.ubos.org,4011863922,nodes
Baya Memorial Secondary School,Secondary School,,,,,Central II,www.ubos.org,4011863941,nodes
Baya Primary,Primary School,,,,,Moyipi,www.ubos.org,4011863939,nodes
Benagoro Primary School,Primary School,,,,,Tendele,www.ubos.org,3991260463,nodes
Besia Primary School,Primary School,,,,,,,4135017673,nodes
Bishop Asili Senior Secondary School,Secondary School,,,,,,,11673278670,nodes
Bishop Gwynne School Of Theology,Other or Unknown,,,,,,,11673280769,nodes
Bitti Primary School,Primary School,,,,,,,5237808321,nodes
Bright Hope Secondary School,Secondary School,,Public,,,Yweyope,www.ubos.org,4025358126,nodes
Bright Junior Nursery And Primary School,"Nursery School, Primary School",,,,,,,11648884451,nodes
Bura Primary School,Primary School,,,,,Ubbi North,www.ubos.org,4011877449,nodes
Chokokbid Nursery School,Nursery School,,Public,,,Ogolo South,www.ubos.org,4011877444,nodes
City Academy Secondary School,Secondary School,,Public,,,Obero,www.ubos.org,4011769443,nodes
Crop Training Centre (Ctc),Other or Unknown,,,,,,,4930493021,nodes
Cwep Itc,Other or Unknown,,,,,Eria South,www.ubos.org,4011863926,nodes
Dar El Salaam Primary School,Primary School,,,,,,,9879216217,nodes
Disu Nursery School,Nursery School,,Private,,,Angula Odiciri,www.ubos.org,6082843154,nodes
Dong Abel Primary School,Primary School,,Private,,,Pobar Central,www.ubos.org,4025358118,nodes
Dongoda,Other or Unknown,,,,,,,6494910484,nodes
Dufile Primary School,Primary School,,Religious,,,,,9794666104,nodes
Eden Nursery School,Nursery School,,,,,Afoji,www.ubos.org,3961481601,nodes
Elegu Primary School,Primary School,,,,,Eria North,www.ubos.org,4011863916,nodes
Emma Memorial Academy,Other or Unknown,,,,,Lama,www.ubos.org,4011863928,nodes
Emma Memorial Secondary School,Secondary School,,Public,,,Maru,www.ubos.org,3980676944,nodes
Emmanuel And Moni Nursery And Primary School,"Nursery School, Primary School",,Public,,,Lokopio,www.ubos.org,3980676950,nodes
Emmanuel Kintergarden Nursery School,Nursery School,,Public,,,Nandre,www.ubos.org,4009758605,nodes
Epc Nehemiah Primary School,Primary School,,Public,,,Gadania,www.ubos.org,4009758598,nodes
Era Primary School,Primary School,,Public,,,Juba,www.ubos.org,4009758599,nodes
Eremi Primary School,Primary School,,,,,Banika,www.ubos.org,4009758589,nodes
Erepi Primary School,Primary School,,Public,,,Toligamago,www.ubos.org,3981533360,nodes
Erepi Primary Teachers College,"Primary School, College",,,,,,,5632922721,nodes
Eria Primary School,Primary School,,,,,,,5567194046,nodes
Etele Primary School,Primary School,,,,,,,3740216979,nodes
Ezibon Mandiri Secondary School,Secondary School,,,,,,,9035500324,nodes
Ezra Baya Memorials Primary School,Primary School,,Religious,,,,,8971387980,nodes
Faka Primary School,Primary School,,Religious,,,,,8974883276,nodes
Fataha Primary School,Primary School,,,,,,,4563411302,nodes
Father Biribawo Primary School,Primary School,,,,,,,4784253924,nodes
Father Biribawo Secondary School,Secondary School,,Private,,,Gadania,www.ubos.org,4009758606,nodes
Fundraising Nursery And Primary School,"Nursery School, Primary School",,,,,,,4135003338,nodes
Gbari Primary School,Primary School,,,,,,,9387578321,nodes
Geria Bush School,Other or Unknown,,,,,,,10570436118,nodes
Goboro Primary School,Primary School,,,,,,,9387601518,nodes
Goboro Primary School,Primary School,,,,,,,5484114125,nodes
Goopi Primary School,Primary School,,,,,,,5484112523,nodes
Gra,Other or Unknown,,,,,,,5414591822,nodes
Gulu One Primary School,Primary School,,,,,Celecelea West,www.ubos.org,4011863911,nodes
Halbul Primary School,Primary School,,,,,Toloro,www.ubos.org,4011863948,nodes
Hia Baraka Nursery And Primary School,"Nursery School, Primary School",,,,,Pakaruhwe,www.ubos.org,4011877435,nodes
Home Dave Primary School,Primary School,,Public,,,Swinga,www.ubos.org,4011769445,nodes
House Of Hope,Other or Unknown,,,,,,,5411478921,nodes
Imotong Life Skills Centre,Other or Unknown,,,,,,,9311393017,nodes
Janga Primary School,Primary School,,Private,,,Simba,www.ubos.org,4025358128,nodes
Jebel Church,Other or Unknown,,,,,Paanjara,www.ubos.org,4011877445,nodes
Kagoropa Primary School,Primary School,,Public,,,Lamwoka B,www.ubos.org,4025358123,nodes
Kai Gai Primary,Primary School,,Public,,,Pakinyi,www.ubos.org,4025358120,nodes
Karika One Nursery And Primary School,"Nursery School, Primary School",,,,,Abeso,www.ubos.org,4011877433,nodes
Karkia Ll Primary And Pre School,Primary School,,,,,Pamoyi,www.ubos.org,4011877436,nodes
Kaya Primary School,Primary School,,,,,Agugwe,www.ubos.org,4011877443,nodes
Kendra Primary School,Primary School,,,,,Pamangara,www.ubos.org,4011877446,nodes
Kerwa Primary School,Primary School,,,,,Cinyi East,www.ubos.org,4011863908,nodes
Kerwa Secondary School,Secondary School,,,,,Alu,www.ubos.org,4011863907,nodes
Kilaji Primary School,Primary School,,,,,Besia,www.ubos.org,4011863910,nodes
Koloa Primary School,Primary School,,,,,Aringa East,www.ubos.org,4011863913,nodes
Kolokolo Primary School,Primary School,,,,,Erepi South,www.ubos.org,4011863914,nodes
Kololo Community Primary School,Primary School,,,,,Oyajo,www.ubos.org,4011863912,nodes
Kongolo Primary School,Primary School,,,,,Erepi South,www.ubos.org,4011863915,nodes
Koromula Primary School,Primary School,,,,,Pamoju East,www.ubos.org,4011863918,nodes
Kotobi Secondary School,Secondary School,,,,,Maduga,www.ubos.org,4011863919,nodes
Kotobi Vocational Center,Other or Unknown,,,,,Pamoju West,www.ubos.org,4011863927,nodes
Kulundu Primary School,Primary School,,,,,Lokwa,www.ubos.org,4011863932,nodes
Kyeyo Primary School,Primary School,,,,,Pamenyua,www.ubos.org,4011863934,nodes
Ladder Kindergarten And Primary School,Primary School,,,,,Bilinyo,www.ubos.org,4011863935,nodes
Lafon Primary School,Primary School,,,,,Minze,www.ubos.org,4011863930,nodes
Lama Primary School,Primary School,,,,,Parego,www.ubos.org,4011863933,nodes
Lamuribenge Vocational School,Other or Unknown,,,,,Maduga,www.ubos.org,4011863936,nodes
Lamwoka Primary School,Primary School,,,,,Maduga,www.ubos.org,4011863937,nodes
Lechu Primary School,Primary School,,,,,Elenderea,www.ubos.org,4011863940,nodes
Ledingwa Primary School,Primary School,,,,,Metu Tr.centre,www.ubos.org,4011863942,nodes
Lekuangole Primary School,Primary School,,,,,Ramogi,www.ubos.org,4011863943,nodes
Lendrewa Primary School,Primary School,,,,,Moyipi,www.ubos.org,4011863945,nodes
Lerwa Primary School,Primary School,,,,,Juluhwe,www.ubos.org,4011863946,nodes
Light House School,Other or Unknown,,,,,Adua,www.ubos.org,4011863944,nodes
Limidia High Secondary School,Secondary School,,,,,,,7256332945,nodes
Limidia Primary School,Primary School,,,,,Elegu,www.ubos.org,3961481602,nodes
Liri Primary School,Primary School,,,,,Kweyo,www.ubos.org,3961481605,nodes
Liwa Primary School,Primary School,,,,,Minze,www.ubos.org,3961481606,nodes
Logoa Primary School,Primary School,,,,,Gbari,www.ubos.org,3961481603,nodes
Logoba Primary School,Primary School,,,,,Pamonye,www.ubos.org,3961481604,nodes
Logoba Secondary School,Secondary School,,,,,Masaloa East,www.ubos.org,3978521602,nodes
Lokwa Primary School,Primary School,,Public,,,Kaminga,www.ubos.org,3991260460,nodes
Lokwa Secondary School,Secondary School,,Public,,,Abachi,www.ubos.org,3981533357,nodes
Lunguma Primary School,Primary School,,,,,,,13351089536,nodes
Lurunya Primary School,Primary School,,Public,,,Logoa,www.ubos.org,3999202747,nodes
Lutaya Primary School,Primary School,,Public,,,,,7172914211,nodes
Mada Primary School,Primary School,,,,,,,5414590522,nodes
Magwi Central Primary School,Primary School,,,,,Lamuribenge A,www.ubos.org,4025358122,nodes
Mahat Primary School,Primary School,,Public,,,Pobar Central,www.ubos.org,4025358119,nodes
Majak P. Sch,Other or Unknown,,,,,Ramogi North,www.ubos.org,4011877434,nodes
Majak P. School,Other or Unknown,,,,,Indridri,www.ubos.org,4011877438,nodes
Majak Primary School,Primary School,,Public,,,Lokujo,www.ubos.org,3991255149,nodes
Makuen Agap P. School,Other or Unknown,,,,,Lokwa,www.ubos.org,4011863931,nodes
Malualbai P School,Primary School,,,,,Maduga,www.ubos.org,4011863920,nodes
Mama Alice Nursery School,Nursery School,,,,,Liri,www.ubos.org,4011863929,nodes
Mama Kezia Primary School,Primary School,,,,,Kololo,www.ubos.org,3991255154,nodes
Mandi Primary School,Primary School,,Public,,,Fataha,www.ubos.org,3999202723,nodes
Masaloa Primary School,Primary School,,,,,Elenderea,www.ubos.org,4011863947,nodes
Matu Primary School,Primary School,,,,,,,3456334859,nodes
Mbara Primary School,Primary School,,,,,,,9035439849,nodes
Medewu Primary School,Primary School,,,,,,,9079619358,nodes
Mena Primary School,Primary School,,,,,Wabanga,www.ubos.org,4009758590,nodes
Mentor Primary School,Primary School,,Ngo,,,,survey,2785620009,nodes
Merwa Primary School,Primary School,,,,,,,5434811521,nodes
Merwa Progressive College,College,,,,,,,3536767652,nodes
Metu Secondary School,Secondary School,,,,,,,6349361479,nodes
Mianga Nursery School,Nursery School,,,,,,,6349361480,nodes
Mijale Amazing Grace Baptist Nursery And Primary School,"Nursery School, Primary School",,,,,,HOT-Uganda,5588234993,nodes
Mijale Primary School,Primary School,,,,,,HOT-Uganda,5588234994,nodes
Mijikita Primary School,Primary School,,,,,,HOT-Uganda,5588234992,nodes
Miri Mojo Primary School,Primary School,,,,,,HOT-Uganda,5596056078,nodes
Mitikologa Primary School,Primary School,,,,,,HOT-Uganda,5596056084,nodes
Moyo Army Primary School,Primary School,,,,,,,6349361481,nodes
Moyo Boys' Primary School,Primary School,,,,,,HOT-Uganda,5596056081,nodes
Moyo Girls' Primary School,Primary School,,,,,Letimekor,HOT-Uganda;UBOS,3961447382,nodes
Moyo Technical Institute,Other or Unknown,,,,,Giwaya,HOT-Uganda;UBOS,3961447383,nodes
Moyo Town Council Primary School,Primary School,,,,,Baranakuto,HOT-Uganda;UBOS,3980676948,nodes
Mugumbe Primary School,Primary School,,Public,,,Aligo,HOT-Uganda;www.ubos.org,4009757187,nodes
Mundri 2 Primary And Hai Malakal Primary School,Primary School,,,,,Osubira,HOT-Uganda;UBOS,4009758609,nodes
Mundri Adventist Primary School,Primary School,,,,,,HOT-Uganda,5564478711,nodes
Mundri Advertise Secondary School,Secondary School,,,,,,HOT-Uganda,5588667298,nodes
Mundri One Primary School,Primary School,,,,,,HOT-Uganda,5556928505,nodes
Mundri One Teachers Training Center,Other or Unknown,,,,,Mijale,HOT-Uganda,3980676945,nodes
"Mundri Secondary School, Motherland Secondary And Kotobi Secondary School",Secondary School,,,,,,HOT-Uganda,5564478710,nodes
Mundri Teachers Union Secondary School,Secondary School,,Public,,,,,12158075311,nodes
Mundri Youth Center,Other or Unknown,,Public,,,,,12158075312,nodes
Nanga Nursery School,Nursery School,,Public,,,,,12158075313,nodes
Nasir Primary And Secondary School,"Primary School, Secondary School",,Public,,,,,12158075314,nodes
New Generation Academy,Other or Unknown,,Public,,,,,12158075315,nodes
Noor Primary School,Primary School,,Public,,,,,12158075316,nodes
Nuru Nursery School,Nursery School,,Community,,,,,12158075317,nodes
Nyambiri Primary School,Primary School,,Public,,,,,12158075318,nodes
Nyojo Primary School,Primary School,,Public,,,,,12158075319,nodes
Obero Primary School,Primary School,,Public,,,,,12158075320,nodes
Odokomba Primary School,Primary School,,Religious,,,,,12158075321,nodes
Ogolo Primary School,Primary School,,Religious,,,,,12158075322,nodes
Okari Primary School,Primary School,,Public,,,,,12158075323,nodes
Omdurman P School,Primary School,,Public,,,,,12158075324,nodes
One Way Nursery And Primary School,"Nursery School, Primary School",,Public,,,,,12158075325,nodes
Orphanage Primary,Primary School,,Community,,,,,12158075326,nodes
Osubira Primary School,Primary School,,Public,,,,,12158075327,nodes
Paanjala Nursery School,Nursery School,,Private,,,,,12158075328,nodes
Palacam Primary School,Primary School,,Public,,,,,12158075329,nodes
Palmar Primary School,Primary School,,Private,,,,,12158075330,nodes
Panjara Primary School,Primary School,,Public,,,,,12158075331,nodes
Parish Primary School,Primary School,,Private,,,,,12158075332,nodes
Partial P School,Primary School,,Public,,,,,12158075333,nodes
